word,selected,annotated_semantics,projected_semantics,freq_sketch,f-pref_itwac,f-pref_repubblica,f-pref_wikiconll,f-adv_itwac,f-adv_repubblica,f-adv_wikiconll
concorrenti,True,?,?,65,1,0,0,-,-,-
conduttore,True,?,Job or Career,27,1,2,1,-,-,-
coniuge,True,Kinship,Kinship,315,22,2,1,-,-,-
coniugi,True,Kinship,Kinship,303,29,7,6,-,-,-
consigliera,True,?,?,37,1,0,0,-,-,-
consigliere,True,Role,Role,279,27,118,6,-,-,-
Consigliere,True,?,?,26,1,0,0,-,-,-
consiglieri,True,Role,Role,97,7,13,2,-,-,-
console,True,Role,Role,71,8,3,8,-,-,-
consoli,True,Role,Role,37,3,0,6,-,-,-
consorte,True,Kinship,Kinship,38,3,1,6,-,-,-
Consorzio,True,?,?,29,1,0,0,-,-,-
consulente,True,Job or Career,Job or Career,64,6,4,1,-,-,-
contadini,True,?,?,63,7,0,1,-,-,-
conventi,True,?,Place or function,28,2,1,3,-,-,-
convento,True,Place or function,Place or function,1054,97,12,64,-,-,-
Convento,True,Place or function,Place or function,194,30,1,9,-,-,-
convivente,True,?,Kinship,54,1,2,1,-,-,-
coordinatore,True,?,Role,38,2,1,1,-,-,-
coppia,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,77,11,4,0,-,-,-
corridore,True,?,Job or Career,42,10,2,1,-,-,-
corsisti,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,59,14,0,0,-,-,-
cortina,True,?,?,24,2,0,0,-,-,-
Corvonero,True,?,?,27,0,0,0,-,-,-
cotonificio,True,?,?,32,3,0,1,-,-,-
criminale,True,?,?,54,0,1,2,-,-,-
criminali,True,?,?,36,0,1,1,-,-,-
cuoco,True,?,?,28,6,0,0,-,-,-
datore,True,Role,Role,110,14,0,1,-,-,-
datori,True,?,Qualification or Set of Circumstances,52,5,1,1,-,-,-
DC,True,Cultural or political movement,Cultural or political movement,127,0,0,8,-,-,-
Dc,True,?,?,74,0,0,0,-,-,-
dc,True,Cultural or political movement,Cultural or political movement,58,0,10,1,-,-,-
DDR,True,Denomination,Denomination,185,21,0,8,-,-,-
Ddr,True,?,?,23,0,0,0,-,-,-
degenti,True,?,?,31,11,3,0,-,-,-
delfino,True,Role,Role,24,2,4,0,-,-,-
demo,True,?,?,216,0,0,0,-,-,-
democristiana,True,?,?,24,0,0,0,-,-,-
democristiani,True,Cultural or political movement,Cultural or political movement#-,194,51,9,2,-,-,-
democristiano,True,?,Cultural or political movement,86,14,1,1,-,-,-
deportati,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,178,43,5,4,-,-,-
deportato,True,?,?,76,10,0,2,-,-,-
deposito,True,?,Place or function,50,13,2,2,-,-,-
deputata,True,?,Role,25,3,1,0,-,-,-
deputati,True,Role,Role,52,17,8,4,-,-,-
deputato,True,Role,Role,202,32,46,8,-,-,-
detective,True,?,?,41,5,0,0,-,-,-
detenuta,True,?,?,32,1,0,0,-,-,-
detenute,True,?,?,100,0,0,0,-,-,-
detenuti,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,998,97,25,13,-,-,-
detenuto,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,293,30,3,7,-,-,-
diessini,True,?,?,27,1,0,1,-,-,-
difensore,True,Role,Role,49,2,6,1,-,-,-
Dipartimento,True,?,?,35,4,0,0,-,-,-
dipendente,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,409,40,19,5,-,-,-
dipendenti,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,738,61,26,9,-,-,-
diplomatico,True,Job or Career,Job or Career,51,3,6,2,-,-,-
direttore,True,Role,Role,948,126,203,29,-,-,-
Direttore,True,?,?,99,8,0,1,-,-,-
direttori,True,Role,Role,34,4,7,1,-,-,-
direttrice,True,?,?,63,0,2,0,-,-,-
dirigente,True,Role,Role,297,35,59,1,-,-,-
dirigenti,True,Role,Role,168,32,26,7,-,-,-
discarica,True,?,?,107,1,0,1,-,-,-
discariche,True,?,?,23,1,0,0,-,-,-
discepolo,True,?,?,23,0,2,2,-,-,-
discoteca,True,?,-,34,0,1,0,-,-,-
dittatore,True,Role,Role,165,61,33,4,-,-,-
dividendo,True,?,?,33,0,1,0,-,-,-
DM,True,?,?,26,0,0,0,-,-,-
docente,True,?,Job or Career,88,8,3,1,-,-,-
docenti,True,?,?,48,2,0,0,-,-,-
dogana,True,?,?,42,4,0,0,-,-,-
Ds,True,?,?,66,0,0,0,-,-,-
DS,True,?,?,56,1,0,3,-,-,-
ds,True,?,?,25,1,0,0,-,-,-
ECA,True,?,?,26,1,0,0,-,-,-
edificio,True,?,?,50,0,0,0,-,-,-
editore,True,?,Job or Career,29,2,2,1,-,-,-
elettore,True,?,?,25,0,0,0,-,-,-
elettori,True,?,Qualification or Set of Circumstances,66,3,3,1,-,-,-
Enel,True,?,?,38,0,0,0,-,-,-
Enpals,True,?,?,101,0,0,0,-,-,-
ENPALS,True,?,?,48,0,0,0,-,-,-
Ente,True,?,?,27,0,0,0,-,-,-
Equitalia,True,?,?,28,0,0,0,-,-,-
Eridania,True,?,?,24,0,0,0,-,-,-
eroe,True,?,?,33,8,2,0,-,-,-
esercito,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,46,7,7,1,-,-,-
esponente,True,Role,Role,40,2,9,0,-,-,-
esponenti,True,?,Qualification or Set of Circumstances,36,5,3,3,-,-,-
esposti,True,?,?,156,7,0,0,-,-,-
Eutelia,True,?,?,52,0,0,0,-,-,-
Expo,True,?,?,43,0,0,0,-,-,-
fabbrica,True,Place or function,Place or function,311,31,8,7,-,-,-
fabbriche,True,?,?,41,4,0,0,-,-,-
fabrica,True,?,?,32,0,0,0,-,-,-
Facoltà,True,?,?,130,0,0,1,-,-,-
facoltà,True,?,?,31,1,0,0,-,-,-
factory,True,?,?,85,2,0,0,-,-,-
falegnameria,True,?,?,26,7,0,1,-,-,-
famiglia,True,?,?,30,6,1,0,-,-,-
fan,True,?,?,48,3,2,0,-,-,-
fascista,True,Cultural or political movement,Cultural or political movement,97,9,4,3,-,-,-
fascisti,True,Cultural or political movement,Cultural or political movement,214,19,10,4,-,-,-
fermata,True,?,?,42,0,0,1,-,-,-
ferrovia,True,?,?,215,3,0,1,-,-,-
ferrovie,True,?,?,31,0,0,0,-,-,-
festività,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,44,38,0,0,-,-,-
feudali,True,?,?,26,0,0,0,-,-,-
feudatari,True,?,?,29,2,0,2,-,-,-
feudi,True,?,?,30,1,0,0,-,-,-
feudo,True,?,Place or function,62,4,3,3,-,-,-
FI,True,?,?,24,0,0,0,-,-,-
fiamma,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,66,13,1,9,-,-,-
Fiat,True,?,?,95,0,0,2,-,-,-
fidanzata,True,Kinship,Kinship,769,80,21,82,-,-,-
fidanzate,True,?,?,65,3,2,0,-,-,-
fidanzati,True,?,?,107,0,2,1,-,-,-
fidanzato,True,Kinship,Kinship,677,64,19,47,-,-,-
fienile,True,?,?,64,4,1,0,-,-,-
Fiera,True,?,?,53,3,0,0,-,-,-
fiera,True,?,?,28,1,0,0,-,-,-
filanda,True,Place or function,Place or function,44,2,0,4,-,-,-
Filanda,True,?,?,25,0,0,0,-,-,-
fissa,True,?,?,41,0,0,0,-,-,-
fonderia,True,?,?,26,0,0,0,-,-,-
fornace,True,?,?,46,7,0,1,-,-,-
Fornace,True,?,?,33,4,0,0,-,-,-
Forza,True,?,?,24,0,0,0,-,-,-
franchigia,True,?,?,25,0,0,0,-,-,-
frate,True,?,?,45,1,0,2,-,-,-
fratelli,True,?,?,48,4,0,1,-,-,-
frontman,True,Role,Role,96,5,0,13,-,-,-
FS,True,Denomination,Denomination,27,0,0,3,-,-,-
fumatore,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances#-,156,23,0,0,-,-,-
fumatori,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances#-,449,51,17,0,-,-,-
fumatrice,True,?,Qualification or Set of Circumstances,31,6,1,1,-,-,-
fumatrici,True,?,?,24,3,0,0,-,-,-
funzionari,True,Job or Career,Job or Career,101,13,27,2,-,-,-
funzionario,True,Job or Career,Job or Career,124,13,28,3,-,-,-
galeotti,True,?,?,61,4,0,2,-,-,-
galeotto,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,127,10,2,6,-,-,-
garibaldini,True,?,?,23,0,0,3,-,-,-
garibaldino,True,Cultural or political movement,Cultural or political movement,31,0,0,4,-,-,-
gay,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,204,1,0,62,-,-,-
generale,True,Job or Career,Job or Career,262,22,83,11,-,-,-
generali,True,Job or Career,Job or Career,54,4,10,1,-,-,-
genere,True,?,?,65,0,0,0,-,-,-
gerarchi,True,?,?,27,3,0,3,-,-,-
Germania,True,Denomination,Denomination,127,0,0,5,-,-,-
gesuita,True,?,?,73,4,0,1,-,-,-
gesuiti,True,?,?,23,2,0,1,-,-,-
ghetto,True,?,?,39,0,0,1,-,-,-
gieffina,True,?,?,52,0,0,0,-,-,-
gieffini,True,?,?,31,0,0,0,-,-,-
gieffino,True,?,?,37,0,0,1,-,-,-
Gil,True,?,?,99,1,0,0,-,-,-
GIL,True,?,?,56,3,0,1,-,-,-
ginnasta,True,?,?,23,1,0,0,-,-,-
giocatore,True,Job or Career,Job or Career,571,40,18,44,-,-,-
giocatori,True,Job or Career,Job or Career#-,273,19,9,18,-,-,-
giocatrice,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,23,1,1,4,-,-,-
giornalista,True,Job or Career,Job or Career,126,27,17,2,-,-,-
giornalisti,True,?,Job or Career,23,3,2,1,-,-,-
giovane,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,45,26,3,0,-,-,-
giovani,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,106,8,8,0,-,-,-
giudice,True,Job or Career,Job or Career,103,21,19,3,-,-,-
governatore,True,Role,Role,344,35,107,14,-,-,-
Governatore,True,?,?,41,0,0,3,-,-,-
governo,True,?,Qualification or Set of Circumstances,58,6,2,1,-,-,-
granata,True,?,?,39,2,0,0,-,-,-
grande,True,?,?,43,0,2,0,-,-,-
grillini,True,?,?,27,0,0,0,-,-,-
gruppo,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,67,51,7,5,-,-,-
guardia,True,Job or Career,Job or Career,58,6,18,7,-,-,-
guardie,True,Job or Career,Job or Career,40,5,7,3,-,-,-
guerriglieri,True,Job or Career,Job or Career,112,18,4,1,-,-,-
guerrigliero,True,?,?,59,4,1,0,-,-,-
hacker,True,?,?,38,4,0,0,-,-,-
Helloween,True,?,?,24,1,0,0,-,-,-
hotel,True,?,?,42,9,1,0,-,-,-
Hotel,True,?,?,37,0,0,1,-,-,-
ILA,True,?,?,23,0,0,0,-,-,-
Ilva,True,?,?,208,0,0,1,-,-,-
ILVA,True,?,?,39,1,0,2,-,-,-
imperatore,True,Role,Role,95,9,4,28,-,-,-
imperatrice,True,Role,Role,25,1,2,10,-,-,-
impero,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,170,26,49,7,-,-,-
Impero,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,82,6,0,7,-,-,-
impiegati,True,?,Qualification or Set of Circumstances,67,7,2,2,-,-,-
impiegato,True,Job or Career,Job or Career,97,4,4,3,-,-,-
imprenditore,True,?,Job or Career,30,2,1,1,-,-,-
Indire,True,?,?,44,0,0,0,-,-,-
industriale,True,?,?,140,1,0,0,-,-,-
industriali,True,?,?,142,2,0,0,-,-,-
INEA,True,?,?,28,0,0,0,-,-,-
infermiera,True,?,Job or Career,41,1,3,2,-,-,-
ingegnere,True,Job or Career,Job or Career,75,2,4,2,-,-,-
ingegneri,True,?,?,23,3,1,0,-,-,-
INPDAP,True,?,?,336,0,0,0,-,-,-
Inpdap,True,?,?,143,0,0,0,-,-,-
inpdap,True,?,?,35,0,0,0,-,-,-
insegnante,True,Job or Career,Job or Career,233,17,5,8,-,-,-
insegnanti,True,?,Job or Career,65,9,1,1,-,-,-
Inter,True,?,?,38,0,0,1,-,-,-
interinali,True,?,?,28,0,0,0,-,-,-
internati,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,141,16,0,6,-,-,-
internato,True,?,?,36,4,0,1,-,-,-
investigatore,True,?,?,25,3,0,1,-,-,-
IPAB,True,?,?,24,0,0,0,-,-,-
ippodromo,True,?,?,28,1,0,0,-,-,-
iridato,True,?,?,32,0,0,0,-,-,-
IRRE,True,?,?,46,0,0,0,-,-,-
iscritti,True,?,Qualification or Set of Circumstances#-,45,2,2,0,-,-,-
isola,True,?,?,28,0,0,0,-,-,-
ISPESL,True,?,?,43,0,0,0,-,-,-
ispettore,True,?,Job or Career,61,9,2,3,-,-,-
istituti,True,?,?,23,2,0,0,-,-,-
Istituto,True,Place or function,Place or function,120,27,0,1,-,-,-
istituto,True,Place or function,Place or function,26,13,1,0,-,-,-
Italcementi,True,?,?,47,0,0,0,-,-,-
Italsider,True,?,?,82,4,0,2,-,-,-
Iugoslavia,True,Denomination,Denomination,248,59,0,7,-,-,-
Japan,True,?,?,34,1,0,0,-,-,-
jugoslava,True,?,?,112,3,0,2,-,-,-
jugoslave,True,?,?,76,1,0,0,-,-,-
jugoslavi,True,Denomination,Denomination,115,1,4,1,-,-,-
Jugoslavia,True,Denomination,Denomination,3840,0,0,121,-,-,-
jugoslavia,True,Denomination,Denomination,116,30,1,1,-,-,-
jugoslavo,True,?,?,55,3,0,1,-,-,-
juventino,True,?,Qualification or Set of Circumstances,28,5,1,1,-,-,-
KGB,True,?,?,39,5,0,1,-,-,-
Kings,True,?,?,25,0,0,0,-,-,-
ladro,True,Job or Career,Job or Career,25,3,1,5,-,-,-
Lakers,True,?,?,34,1,0,0,-,-,-
latteria,True,?,?,35,1,1,0,-,-,-
lavoratore,True,?,?,45,4,0,0,-,-,-
