NGRAM	semantica nome	valore adv	ngram pattern	source	contesto
			DET ADV NOUN	ITWAC	Protagonisti di questo ignobile gesto	i non più onorevoli	Borghezio , Salvini e Speroni .

non più partecipazione
			DET ADV NOUN	ITWAC	purtroppo , è di San Francesco che mi ha ispirato dopo 25 anni di forzato silenzio - lo si evince	dalla non più partecipazione	di padre Giovanni alle processioni della statua , cioè da quando 25 anni fa aveva già denunciato questo problema , ma

non più presenza
			DET ADV NOUN	ITWAC	dopo gli avvenimenti dello scorso anno , alla riapertura di un' altra sessione , nonostante tanti cedimenti di Carlo ,	la non più presenza	del duca di Buckingam , i contrasti si riaccendono ancora sull' autoritarismo della corona ma anche su quello ecclesiastico .

non più produzione
			DET ADV NOUN	WIKICONLL	molto giovani che non parlando perdono la capacità di riprodurre i suoni , il che porta in entrambi i casi	alla non più produzione	di suoni completi che si riducono a gutturali e quindi praticamente incomprensibili .

non più ragazze
			DET ADV NOUN	ITWAC	4 )	Alle non più ragazze	.

non più riconoscibilità
			DET ADV NOUN	ITWAC	Si può correre il rischio , cosa che è già in atto ,	della non più riconoscibilità	dell' architettura da parte dell' utenza ...

non più signorine
			DET ADV NOUN	REPUBBLICA	signore madri : a partire dall' anno venturo , con giubilo di numerose aspiranti , Miss Italia si aprirà anche	alle non più signorine	.

non più sonno
			DET ADV NOUN	ITWAC	 Rotolai nel mondo di pantofole Sbattendo la testa Contro il pavimento	del non più sonno	.

non più sostenibilità
			DET ADV NOUN	ITWAC	In quell' Assise si approfondiscono naturalmente i temi interni dell' organizzazione , ma particolarmente	la non più sostenibilità	#NAME?

non più studenti
			DET ADV NOUN	ITWAC	Offerte per i giovani , per i non giovani , per gli studenti e per	i non più studenti	di tutte le età , ma sempre attenti ai tuoi desideri .

non più tanto
			DET ADV NOUN	REPUBBLICA	del Leone d' Inverno di James Goldman , da ieri in scena al Manzoni di Milano , Rossella Falk è	la non più tanto	soda- le consorte di Enrico II Re d' Inghilterra recitato da Andrea Giordana , nei panni della cui favorita è Valentina

non più ufficio
			DET ADV NOUN	ITWAC	Ricordo molto bene di quel giorno , il tratto che mi portò	dal non più ufficio	, a casa ...

